City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
75,muisne,0.6,-80.0333,300.03,85,55,4.18,Muisne,1686078042
76,klyuchi,52.2667,79.1667,295.71,45,71,2.92,Klyuchi,1686078042
77,san luis de la loma,17.2706,-100.8939,304.96,52,0,4.05,San Luis de la Loma,1686078042
78,badger,64.8,-147.5333,295.37,44,15,0.88,Badger,1686078042
79,nizhneudinsk,54.9076,99.0276,290.23,68,100,0.85,Nizhneudinsk,1686078042
80,papatowai,-46.5619,169.4708,277.95,87,51,2.1,Papatowai,1686078043
81,nyurba,63.2842,118.3319,275.95,80,6,1.36,Nyurba,1686078043
82,mossel bay,-34.1831,22.146,287.79,58,0,3.47,Mossel Bay,1686078043
83,adamstown,-25.066,-130.1015,294.27,57,41,7.57,Adamstown,1686078043
84,punta arenas,-53.15,-70.9167,280.21,65,0,9.77,Punta Arenas,1686077943
85,lakheri,25.6667,76.1667,308.06,22,7,1.5,Lākheri,1686078044
86,tomatlan,19.9333,-105.25,306.31,39,0,4.65,Tomatlán,1686078044
87,turpan,42.9333,89.1667,305.95,12,0,1.64,Turpan,1686078044
88,olonkinbyen,70.9221,-8.7187,274.27,69,100,1.75,Olonkinbyen,1686078044
89,hithadhoo,-0.6,73.0833,301.61,76,15,3.67,Hithadhoo,1686078044
90,adre,13.4667,22.2,294.99,81,100,10.09,Adré,1686078044
91,kazanskoye,55.6448,69.235,292.97,80,0,1.72,Kazanskoye,1686078045
92,arkhangel'sk,64.5401,40.5433,277.42,81,100,2.29,Arkhangelsk,1686077989
93,hamilton,39.1834,-84.5333,303.14,35,88,2.68,Hamilton,1686078045
94,chonchi,-42.6128,-73.8092,285.44,70,11,1.92,Chonchi,1686078045
95,daru,-9.0763,143.2092,298.66,92,100,4.96,Daru,1686078045
96,gamba,-2.65,10.0,296.29,88,100,2.74,Gamba,1686078045
97,buka,40.8108,69.1986,299.62,16,3,2.39,Bo`ka,1686078046
98,tazovsky,67.4667,78.7,283.91,70,100,4.39,Tazovsky,1686078046
99,kuytun,54.3419,101.5036,283.92,53,93,0.33,Kuytun,1686078046
100,whitehorse,60.7161,-135.0538,280.82,92,100,4.02,Whitehorse,1686078046
101,petropavlovsk-kamchatsky,53.0452,158.6483,281.48,61,75,2.0,Petropavlovsk-Kamchatskiy,1686077503
102,bilibino,68.0546,166.4372,281.98,59,100,1.32,Bilibino,1686078047
103,waitangi,-43.9535,-176.5597,283.05,69,100,6.09,Waitangi,1686078047
104,okhotsk,59.3833,143.3,279.1,73,68,1.85,Okhotsk,1686078047
105,maxixe,-23.8597,35.3472,295.33,90,0,3.04,Maxixe,1686078047
106,kruisfontein,-34.0033,24.7314,284.17,60,0,1.25,Kruisfontein,1686078048
107,kapuskasing,49.4169,-82.4331,293.72,21,0,5.51,Kapuskasing,1686078048
108,chekmagush,55.1319,54.6556,283.6,96,100,4.24,Chekmagush,1686078048
